	Model Cluster	p Value Log	Odds Ratio	Description	Antibody	Size	Cluster Site - TF Region Overlap (a)	TF Region Only (b)	Cluster Site Only (c)	Assessed Methylation Background (d)	ENOCDE File
7049	4	0.04006877965875817	0.4895997214306684	encode_v4_hg19 ZSCAN30	ZSCAN30	23556.0	2	33003	56	452451	ENCFF266MUN.bed
7050	8	0.04000883313873687	0.4090305740671526	encode_v4_hg19 CTCF	CTCF	43381.0	1	32567	34	452910	ENCFF225IGV.bed
7051	8	0.039940881999387876	0.40874803809501675	encode_v4_hg19 CTCF	CTCF	38499.0	1	32588	34	452889	ENCFF238ZLG.bed
7052	3	0.03990428057294811	0.7099775457723172	encode_v4_hg19 GABPA	GABPA	25473.0	13	44812	180	440507	ENCFF652FKO.bed
7053	3	0.039812696858073704	0.7017990007469344	encode_v4_hg19 TCF7L2	TCF7L2	36666.0	12	41892	181	443427	ENCFF726SWQ.bed
7054	7	0.039780603864164064	0.5396022397274647	encode_v4_hg19 MAX	MAX	14525.0	3	28241	90	457178	ENCFF044NSI.bed
7055	8	0.039773127901530585	0.40804998990800306	encode_v4_hg19 CBFB	CBFB	16277.0	1	32640	34	452837	ENCFF951CCL.bed
7056	4	0.03962548833210563	0.5363582529356955	encode_v4_hg19 MAZ	MAZ	27818.0	3	44812	55	440642	ENCFF566MPI.bed
7057	6	0.03960442970824696	0.5754079245309869	encode_v4_hg19 TSC22D2	TSC22D2	11545.0	4	25571	125	459812	ENCFF278CIM.bed
7058	8	0.03952604069319737	0.4070204172032567	encode_v4_hg19 ETV4	ETV4	21751.0	1	32717	34	452760	ENCFF624RGO.bed
7059	3	0.03951870466321398	0.6821902881171291	encode_v4_hg19 ZBTB25	ZBTB25	19525.0	10	35991	183	449328	ENCFF384TZN.bed
7060	8	0.03947264236076236	0.5309824406688541	encode_v4_hg19 NR2C2	NR2C2	44869.0	3	72853	32	412624	ENCFF263VIC.bed
7061	7	0.03940545754193062	0.5730473112246737	encode_v4_hg19 MAZ	MAZ	15698.0	4	35301	89	450118	ENCFF290CNC.bed
7062	4	0.039393220348922627	0.5355415606013072	encode_v4_hg19 HOXA5	HOXA5	20865.0	3	44874	55	440580	ENCFF385DPO.bed
7063	6	0.03937696124585986	0.6401885147480757	encode_v4_hg19 ZNF317	ZNF317	23240.0	7	39926	122	445457	ENCFF865WCB.bed
7064	9	0.03930353746798154	0.5738884333903348	encode_v4_hg19 DLX6	DLX6	19616.0	4	28678	111	456719	ENCFF707SJC.bed
7065	4	0.0393028465738816	0.40706213486507686	encode_v4_hg19 CTCF	CTCF	59400.0	1	20058	57	465396	ENCFF124UXX.bed
7066	5	0.03917983327150377	0.4068138976247089	encode_v4_hg19 CTCF	CTCF	25189.0	1	16699	69	468743	ENCFF176AOA.bed
7067	2	0.03906134950205915	0.527431616873747	encode_v4_hg19 MAZ	MAZ	42732.0	3	84478	27	401004	ENCFF529XTF.bed
7068	7	0.03903367849835148	0.4065261991661206	encode_v4_hg19 ZNF569	ZNF569	3894.0	1	12641	92	472778	ENCFF795VJZ.bed
7069	4	0.03902576991415075	0.485696716328271	encode_v4_hg19 BCL6	BCL6	40135.0	2	33250	56	452204	ENCFF422TZK.bed
7070	6	0.03898814478804777	0.5381201198922647	encode_v4_hg19 ATF6	ATF6	7897.0	3	20566	126	464817	ENCFF863ZFH.bed
7071	6	0.03896452562569603	0.5380381589491309	encode_v4_hg19 MYC	MYC	9939.0	3	20569	126	464814	ENCFF114VAI.bed
7072	7	0.038926926073382155	0.5366351286195542	encode_v4_hg19 ZC3H8	ZC3H8	9644.0	3	28388	90	457031	ENCFF049ISU.bed
7073	9	0.03892541919966741	0.4062508078965867	encode_v4_hg19 ZNF583	ZNF583	9513.0	1	10259	114	475138	ENCFF053ABJ.bed
7074	6	0.03891386308916793	0.40627904288151023	encode_v4_hg19 RFX1	RFX1	5929.0	1	9157	128	476226	ENCFF088YXY.bed
7075	6	0.03890946710873082	0.5378470096884522	encode_v4_hg19 NFAT5	NFAT5	9135.0	3	20576	126	464807	ENCFF069YFV.bed
7076	6	0.03878947780251089	0.6658962462736545	encode_v4_hg19 MAZ	MAZ	23121.0	9	49135	120	436248	ENCFF467VSF.bed
7077	3	0.038761991512471415	0.5740988487719196	encode_v4_hg19 SOX18	SOX18	7568.0	4	17255	189	468064	ENCFF338YFQ.bed
7078	5	0.03874216111242916	0.4854218607559571	encode_v4_hg19 ZBTB14	ZBTB14	9821.0	2	27732	68	457710	ENCFF428ZPS.bed
7079	3	0.03866117904923822	0.600948696727943	encode_v4_hg19 CTCF	CTCF	33365.0	5	20568	188	464751	ENCFF231KCT.bed
7080	5	0.038602624474414385	0.40443065968298203	encode_v4_hg19 FOXA3	FOXA3	12368.0	1	16794	69	468648	ENCFF197SXI.bed
7081	4	0.03857197050671181	0.5326356815417778	encode_v4_hg19 ZNF556	ZNF556	19971.0	3	45096	55	440358	ENCFF340TNC.bed
7082	3	0.03855887237469825	0.6553250725270835	encode_v4_hg19 CTCF	CTCF	46052.0	8	30042	185	455277	ENCFF564KJT.bed
7083	8	0.038550106907517284	0.4029370451398542	encode_v4_hg19 YY1	YY1	16179.0	1	33026	34	452451	ENCFF042OEY.bed
7084	5	0.038524323155700306	0.40410662804333797	encode_v4_hg19 ZNF512B	ZNF512B	9622.0	1	16807	69	468635	ENCFF050KYT.bed
7085	3	0.03843375088292668	0.6398552000017462	encode_v4_hg19 ZNF843	ZNF843	21673.0	7	26959	186	458360	ENCFF750TQY.bed
7086	1	0.038422467207693434	0.4031659976832322	encode_v4_hg19 CBX1	CBX1	9717.0	1	23390	49	462072	ENCFF566PBY.bed
7087	4	0.03840118040944634	0.4033272167263963	encode_v4_hg19 KLF1	KLF1	9067.0	1	20236	57	465218	ENCFF674KVR.bed
7088	4	0.03839292297540854	0.4833080113029218	encode_v4_hg19 ESRRA	ESRRA	19282.0	2	33403	56	452051	ENCFF700DMQ.bed
7089	9	0.03837002125919497	0.5355650900847354	encode_v4_hg19 NFIA	NFIA	28834.0	3	23120	112	462277	ENCFF561XGT.bed
7090	2	0.037959767404253525	0.40002661607596984	encode_v4_hg19 GFI1	GFI1	26175.0	1	38528	29	446954	ENCFF999HNJ.bed
7091	6	0.03793863791376093	0.5344553944446802	encode_v4_hg19 NR2F2	NR2F2	28663.0	3	20701	126	464682	ENCFF615MHO.bed
7092	8	0.037854936190532804	0.4000114665980016	encode_v4_hg19 BCL6	BCL6	40135.0	1	33251	34	452226	ENCFF422TZK.bed
7093	5	0.037847558430027045	0.5658207042033069	encode_v4_hg19 REST	REST	36455.0	4	46966	66	438476	ENCFF044GNV.bed
7094	8	0.0378121048432691	0.3998307384778117	encode_v4_hg19 USF1	USF1	29143.0	1	33265	34	452212	ENCFF442JPI.bed
7095	2	0.03776855818303542	0.39921613272304923	encode_v4_hg19 TEAD1	TEAD1	18126.0	1	38600	29	446882	ENCFF214SNH.bed
7096	5	0.03775025826013109	0.40089366978896046	encode_v4_hg19 CTCF	CTCF	22558.0	1	16937	69	468505	ENCFF444FPK.bed
7097	8	0.037732691599524755	0.3994955038176064	encode_v4_hg19 SMAD3	SMAD3	20724.0	1	33291	34	452186	ENCFF206KPV.bed
7098	5	0.03769346707165534	0.48147385436889883	encode_v4_hg19 CTCF	CTCF	36349.0	2	27947	68	457495	ENCFF900APQ.bed
7099	9	0.03769076388387298	0.48297728336263773	encode_v4_hg19 ZNF865	ZNF865	21293.0	2	17159	113	468238	ENCFF060MHX.bed
7100	9	0.0376563161758538	0.4010182915189523	encode_v4_hg19 ZNF362	ZNF362	29159.0	1	10390	114	475007	ENCFF409GGL.bed
7101	6	0.03764532771238308	0.6499556390911905	encode_v4_hg19 GABPA	GABPA	25473.0	8	44817	121	440566	ENCFF652FKO.bed
7102	6	0.03762442547145628	0.400966750270192	encode_v4_hg19 ARNT	ARNT	8566.0	1	9276	128	476107	ENCFF728ITJ.bed
7103	4	0.03760475014708153	0.4803335711947634	encode_v4_hg19 ZSCAN9	ZSCAN9	19350.0	2	33597	56	451857	ENCFF999NWQ.bed
7104	5	0.0375621895214883	0.4001103381596603	encode_v4_hg19 CTCF	CTCF	35787.0	1	16969	69	468473	ENCFF130ISX.bed
7105	8	0.03754400513091862	0.3986982072740499	encode_v4_hg19 CTCF	CTCF	31541.0	1	33353	34	452124	ENCFF523MWC.bed
7106	6	0.03754312245408958	0.4826762501451609	encode_v4_hg19 ZNF20	ZNF20	4672.0	2	15336	127	470047	ENCFF627DNU.bed
7107	5	0.037515795092534346	0.4807983701562715	encode_v4_hg19 CTCF	CTCF	42066.0	2	27984	68	457458	ENCFF620VBI.bed
7108	5	0.037456628299685144	0.5644897544361879	encode_v4_hg19 SMAD5	SMAD5	21921.0	4	47066	66	438376	ENCFF971YTJ.bed
7109	6	0.037422532846974894	0.48222166168110003	encode_v4_hg19 RFX5	RFX5	5822.0	2	15350	127	470033	ENCFF601WHE.bed
7110	7	0.03728232469285415	0.5308314802605312	encode_v4_hg19 TCF7L2	TCF7L2	23675.0	3	28680	90	456739	ENCFF936XIP.bed
7111	9	0.037277406630597656	0.39944677108896653	encode_v4_hg19 MLXIP	MLXIP	5495.0	1	10430	114	474967	ENCFF780JTP.bed
7112	9	0.03727469129406632	0.4814065810800187	encode_v4_hg19 ZSCAN30	ZSCAN30	6103.0	2	17213	113	468184	ENCFF560NWT.bed
7113	4	0.03722451888689361	0.47887849263339266	encode_v4_hg19 ZNF609	ZNF609	24990.0	2	33692	56	451762	ENCFF667MEL.bed
7114	6	0.03721624756986151	0.5319050341904268	encode_v4_hg19 JUN	JUN	13116.0	3	20796	126	464587	ENCFF636SGK.bed
7115	2	0.03720597622842243	0.3968249462605947	encode_v4_hg19 CREM	CREM	32985.0	1	38814	29	446668	ENCFF294IGP.bed
7116	6	0.03710643167561125	0.39881874421747293	encode_v4_hg19 XBP1	XBP1	3986.0	1	9325	128	476058	ENCFF472DLA.bed
7117	7	0.037034798034786445	0.5299475740913525	encode_v4_hg19 CTCF	CTCF	35293.0	3	28725	90	456694	ENCFF301BDF.bed
7118	8	0.03700836935572859	0.47493024234106257	encode_v4_hg19 CTCF	CTCF	41751.0	2	54941	33	430536	ENCFF302VBR.bed
7119	5	0.03697346792756127	0.4787283331007006	encode_v4_hg19 TRIM28	TRIM28	27636.0	2	28098	68	457344	ENCFF032VPU.bed
7120	6	0.03685742284221297	0.5933638654293282	encode_v4_hg19 SOX6	SOX6	32910.0	5	30885	124	454498	ENCFF125GZU.bed
7121	8	0.03681069749336781	0.39558903802661666	encode_v4_hg19 CREB1	CREB1	38450.0	1	33597	34	451880	ENCFF314KET.bed
7122	5	0.03678498668330887	0.4780059795211021	encode_v4_hg19 CTCF	CTCF	43070.0	2	28138	68	457304	ENCFF805CXH.bed
7123	5	0.036773600230850786	0.3968138766780783	encode_v4_hg19 CTCF	CTCF	47205.0	1	17105	69	468337	ENCFF005MCX.bed
7124	2	0.03676652683169979	0.47266682583398917	encode_v4_hg19 PRDM10	PRDM10	63197.0	2	63734	28	421748	ENCFF088YZU.bed
7125	4	0.036727965380873	0.3963324752964936	encode_v4_hg19 NFAT5	NFAT5	9135.0	1	20578	57	464876	ENCFF069YFV.bed
7126	5	0.03672774684304898	0.39662159885942994	encode_v4_hg19 CTCF	CTCF	25342.0	1	17113	69	468329	ENCFF590JWL.bed
7127	4	0.036694505627528406	0.4768399608192348	encode_v4_hg19 SP5	SP5	24880.0	2	33826	56	451628	ENCFF347UBA.bed
7128	2	0.03669043521500732	0.3946249055940444	encode_v4_hg19 CTCF	CTCF	56708.0	1	39013	29	446469	ENCFF226NCM.bed
7129	7	0.036680002557551675	0.5286756982928273	encode_v4_hg19 CTCF	CTCF	30913.0	3	28790	90	456629	ENCFF938CMJ.bed
7130	2	0.03664673028932873	0.39443800253628275	encode_v4_hg19 CREB1	CREB1	41293.0	1	39030	29	446452	ENCFF599FYT.bed
7131	4	0.036637315874699435	0.5256725678536391	encode_v4_hg19 ZNF501	ZNF501	19736.0	3	45637	55	439817	ENCFF725SQV.bed
7132	8	0.036526186304765625	0.39437810256906924	encode_v4_hg19 ZNF609	ZNF609	24990.0	1	33693	34	451784	ENCFF667MEL.bed
7133	5	0.03652213360101925	0.395758568686954	encode_v4_hg19 TBPL1	TBPL1	5967.0	1	17149	69	468293	ENCFF927NEU.bed
7134	9	0.03649133702194454	0.5289069697150213	encode_v4_hg19 HNF4G	HNF4G	16170.0	3	23397	112	462000	ENCFF413UQM.bed
7135	6	0.03646996433628989	0.5292454956610868	encode_v4_hg19 ZNF740	ZNF740	11277.0	3	20896	126	464487	ENCFF854KWX.bed
7136	5	0.03644917692142662	0.5263255201501109	encode_v4_hg19 CTCF	CTCF	75075.0	3	38062	67	447380	ENCFF504IUB.bed
7137	4	0.03644394623366013	0.4758720220267608	encode_v4_hg19 SOX5	SOX5	40951.0	2	33890	56	451564	ENCFF070XVL.bed
7138	6	0.036430672099711556	0.3960039416519501	encode_v4_hg19 ZBED5	ZBED5	4808.0	1	9390	128	475993	ENCFF195YPT.bed
7139	6	0.036430672099711556	0.3960039416519501	encode_v4_hg19 ONECUT2	ONECUT2	10573.0	1	9390	128	475993	ENCFF417HLM.bed
7140	7	0.03629435113443805	0.39515582760136925	encode_v4_hg19 ZNF217	ZNF217	17502.0	1	12995	92	472424	ENCFF131ALE.bed
7141	1	0.036269813073102355	0.3941273932296764	encode_v4_hg19 ZNF138	ZNF138	8875.0	1	23900	49	461562	ENCFF389YCG.bed
7142	2	0.03621764185907446	0.3925996778958512	encode_v4_hg19 ZNF776	ZNF776	13319.0	1	39198	29	446284	ENCFF396ZSB.bed
7143	1	0.03617160835669364	0.39371154114453216	encode_v4_hg19 ZNF616	ZNF616	8983.0	1	23924	49	461538	ENCFF255QEY.bed
7144	9	0.03610517831623998	0.47695233729860204	encode_v4_hg19 SIX4	SIX4	13811.0	2	17368	113	468029	ENCFF643LFY.bed
7145	4	0.036046023371266465	0.3934563946410437	encode_v4_hg19 ZBTB40	ZBTB40	14128.0	1	20722	57	464732	ENCFF160TJG.bed
7146	6	0.036010987606632835	0.3942484064355161	encode_v4_hg19 RFX3	RFX3	5754.0	1	9431	128	475952	ENCFF164JZB.bed
7147	3	0.03596023483213321	0.6478478517195418	encode_v4_hg19 YY1	YY1	17812.0	8	30367	185	454952	ENCFF246AME.bed
7148	8	0.035946411261415546	0.39190221412492987	encode_v4_hg19 SOX5	SOX5	40951.0	1	33891	34	451586	ENCFF070XVL.bed
7149	5	0.03590677325764997	0.3931674597912779	encode_v4_hg19 SOX18	SOX18	7568.0	1	17258	69	468184	ENCFF338YFQ.bed
7150	6	0.03589718245082426	0.47641827330561576	encode_v4_hg19 RFX1	RFX1	18555.0	2	15531	127	469852	ENCFF768VRG.bed
7151	3	0.03579975014265444	0.660590117759736	encode_v4_hg19 ZNF232	ZNF232	16449.0	9	33457	184	451862	ENCFF119UOZ.bed
7152	2	0.035791119917398646	0.39076624142289873	encode_v4_hg19 ZNF691	ZNF691	19158.0	1	39367	29	446115	ENCFF296WYX.bed
7153	8	0.0357336443925136	0.46990910537639813	encode_v4_hg19 CTCF	CTCF	53042.0	2	55461	33	430016	ENCFF237RIC.bed
7154	5	0.03562336676355544	0.4735196736732883	encode_v4_hg19 ZC3H8	ZC3H8	9644.0	2	28389	68	457053	ENCFF049ISU.bed
7155	5	0.03556873168357815	0.47330717510899317	encode_v4_hg19 CTCF	CTCF	42073.0	2	28401	68	457041	ENCFF059SOE.bed
7156	3	0.03556554599067413	0.39268497715778256	encode_v4_hg19 TBP	TBP	2669.0	1	6353	192	478966	ENCFF196KRF.bed
7157	4	0.03550600852673742	0.5559341865606432	encode_v4_hg19 CTCF	CTCF	59773.0	4	57078	54	428376	ENCFF427TYH.bed
7158	5	0.03547850324421603	0.39135668328644524	encode_v4_hg19 ZBTB12	ZBTB12	8703.0	1	17335	69	468107	ENCFF830MTX.bed
7159	2	0.03539942912357789	0.3890770384524247	encode_v4_hg19 ZNF343	ZNF343	13414.0	1	39524	29	445958	ENCFF415YWK.bed
7160	3	0.03531344598560374	0.6122994467169189	encode_v4_hg19 PKNOX1	PKNOX1	42718.0	6	24165	187	461154	ENCFF847ISF.bed
7161	5	0.035291071290959874	0.390562229399021	encode_v4_hg19 SIX4	SIX4	13811.0	1	17369	69	468073	ENCFF643LFY.bed
7162	8	0.035281793561091464	0.38904999379469146	encode_v4_hg19 CTCF	CTCF	38561.0	1	34122	34	451355	ENCFF893RLK.bed
7163	4	0.03523013805103968	0.38999501144933985	encode_v4_hg19 ZNF740	ZNF740	11277.0	1	20898	57	464556	ENCFF854KWX.bed
7164	3	0.035220987609384885	0.6120062357696419	encode_v4_hg19 ZBTB10	ZBTB10	11858.0	6	24176	187	461143	ENCFF825GVH.bed
7165	2	0.03516452281516469	0.38806141059820853	encode_v4_hg19 GABPA	GABPA	14776.0	1	39619	29	445863	ENCFF678DJM.bed
7166	5	0.035157051893499186	0.4717015531195495	encode_v4_hg19 SP4	SP4	7876.0	2	28492	68	456950	ENCFF257FUV.bed
7167	3	0.035145335359818126	0.5256062858019666	encode_v4_hg19 CTCF	CTCF	18562.0	3	14154	190	471165	ENCFF947KIQ.bed
7168	6	0.03498170413315793	0.6089864946926737	encode_v4_hg19 ZBTB25	ZBTB25	19525.0	6	35995	123	449388	ENCFF384TZN.bed
7169	5	0.034951898249147975	0.38912149803049695	encode_v4_hg19 CTCF	CTCF	38464.0	1	17431	69	468011	ENCFF991RIU.bed
7170	3	0.034826776427834806	0.6577803908900264	encode_v4_hg19 ZSCAN9	ZSCAN9	19350.0	9	33590	184	451729	ENCFF999NWQ.bed
7171	6	0.034722472977172535	0.6542711477942522	encode_v4_hg19 MYC	MYC	31311.0	9	49918	120	435465	ENCFF608CXN.bed
7172	3	0.03472144092494285	0.560480203214786	encode_v4_hg19 CTCF	CTCF	52451.0	4	17659	189	467660	ENCFF832INR.bed
7173	8	0.034682806880410005	0.3864661459344804	encode_v4_hg19 ELF4	ELF4	10799.0	1	34334	34	451143	ENCFF488DML.bed
7174	7	0.034672128277755516	0.6611645052577994	encode_v4_hg19 ZBTB20	ZBTB20	42491.0	10	74822	83	410597	ENCFF076WDH.bed
7175	5	0.03465657647032197	0.51973927809306	encode_v4_hg19 CTCF	CTCF	40005.0	3	38506	67	446936	ENCFF133LGF.bed
7176	5	0.03457781475909407	0.5194461725306475	encode_v4_hg19 GFI1	GFI1	26175.0	3	38526	67	446916	ENCFF999HNJ.bed
7177	2	0.03456352132718396	0.38545396514801816	encode_v4_hg19 KLF6	KLF6	17984.0	1	39865	29	445617	ENCFF290IVM.bed
7178	7	0.03454424205897142	0.47031863161509624	encode_v4_hg19 E2F1	E2F1	7951.0	2	21671	91	463748	ENCFF053HPQ.bed
7179	8	0.034540254969453545	0.385849314203263	encode_v4_hg19 SP1	SP1	16014.0	1	34385	34	451092	ENCFF333SWC.bed
7180	2	0.03452963121611845	0.3853065414118613	encode_v4_hg19 CTCF	CTCF	34222.0	1	39879	29	445603	ENCFF831KJJ.bed
7181	5	0.034520843165910586	0.5807104237174654	encode_v4_hg19 ZNF48	ZNF48	34493.0	5	56782	65	428660	ENCFF543CJD.bed
7182	6	0.03451708833759134	0.5856408750106658	encode_v4_hg19 ZBED4	ZBED4	16526.0	5	31266	124	454117	ENCFF021YBN.bed
7183	4	0.03449214069455772	0.5987807536176156	encode_v4_hg19 VEZF1	VEZF1	46727.0	6	78433	52	407021	ENCFF433ERT.bed
7184	7	0.03442836212567713	0.5560693243489314	encode_v4_hg19 NFIC	NFIC	51683.0	4	36298	89	449121	ENCFF169MAE.bed
7185	8	0.034416976419870675	0.46464266700191925	encode_v4_hg19 E2F4	E2F4	21901.0	2	56017	33	429460	ENCFF245XOL.bed
7186	6	0.03441072749035882	0.38749989466310775	encode_v4_hg19 NR2E3	NR2E3	8084.0	1	9592	128	475791	ENCFF404ASR.bed
7187	4	0.03437621410850915	0.4677751925904192	encode_v4_hg19 MAX	MAX	13593.0	2	34435	56	451019	ENCFF361EVH.bed
7188	5	0.03432112808428503	0.4684167128684575	encode_v4_hg19 DLX6	DLX6	19616.0	2	28680	68	456762	ENCFF707SJC.bed
7189	8	0.0342541627325474	0.3846091187062261	encode_v4_hg19 CTCF	CTCF	46700.0	1	34488	34	450989	ENCFF013GUN.bed
7190	3	0.03424725238391356	0.6427419376268787	encode_v4_hg19 CTCF	CTCF	44279.0	8	30593	185	454726	ENCFF036CYO.bed
7191	6	0.03424619280207041	0.5572704597212773	encode_v4_hg19 HOXD1	HOXD1	13861.0	4	26358	125	459025	ENCFF647VJL.bed
7192	6	0.0342461001781164	0.38680051882187005	encode_v4_hg19 BMI1	BMI1	9266.0	1	9609	128	475774	ENCFF846CPP.bed
7193	4	0.03424126865319379	0.38576851426731074	encode_v4_hg19 MAF1	MAF1	7727.0	1	21117	57	464337	ENCFF976LBY.bed
7194	5	0.03423325990602914	0.5181601139876989	encode_v4_hg19 CTCF	CTCF	38328.0	3	38614	67	446828	ENCFF206QXQ.bed
7195	8	0.03416576914504629	0.3842253220850258	encode_v4_hg19 CTCF	CTCF	46823.0	1	34520	34	450957	ENCFF921NTC.bed
7196	7	0.03415646124477846	0.386113361332615	encode_v4_hg19 ZBTB12	ZBTB12	9505.0	1	13291	92	472128	ENCFF423DNE.bed
7197	5	0.03414509398136652	0.38567788908645906	encode_v4_hg19 CTCF	CTCF	33222.0	1	17581	69	467861	ENCFF949KVG.bed
7198	7	0.03411449304528692	0.38593423102984387	encode_v4_hg19 ZBTB33	ZBTB33	4943.0	1	13297	92	472122	ENCFF458VTX.bed
7199	6	0.03403302456246524	0.6059120007962416	encode_v4_hg19 ZNF441	ZNF441	19239.0	6	36164	123	449219	ENCFF924VAH.bed
7200	3	0.034032993580909006	0.3862161224424975	encode_v4_hg19 ZNF251	ZNF251	3184.0	1	6458	192	478861	ENCFF878TPY.bed
7201	6	0.034009190827044525	0.6239231370256435	encode_v4_hg19 MYC	MYC	31161.0	7	40879	122	444504	ENCFF858ZYN.bed
7202	6	0.03400547700380704	0.3857765087076809	encode_v4_hg19 OVOL3	OVOL3	7939.0	1	9634	128	475749	ENCFF583PWM.bed
7203	1	0.0340017205258971	0.38443819126352397	encode_v4_hg19 STAT6	STAT6	10704.0	1	24472	49	460990	ENCFF861MUF.bed
7204	3	0.03392148112220137	0.5211300054856647	encode_v4_hg19 ZBTB21	ZBTB21	9591.0	3	14272	190	471047	ENCFF819NNH.bed
7205	1	0.03391355960725491	0.4651256616800231	encode_v4_hg19 MEIS1	MEIS1	17676.0	2	39913	48	445549	ENCFF546OSE.bed
7206	8	0.033888288516591564	0.3830186175469227	encode_v4_hg19 JUND	JUND	47100.0	1	34621	34	450856	ENCFF306SZL.bed
7207	8	0.03385547248035611	0.3828757144983386	encode_v4_hg19 EP300	EP300	16032.0	1	34633	34	450844	ENCFF052QED.bed
7208	3	0.03382111000436396	0.5573352191407505	encode_v4_hg19 CTCF	CTCF	30426.0	4	17755	189	467564	ENCFF641ZTX.bed
7209	3	0.033798046686661115	0.6664395386217468	encode_v4_hg19 ZBTB48	ZBTB48	26065.0	10	36777	183	448542	ENCFF327LPN.bed
7210	2	0.03376406639622263	0.3819648535673917	encode_v4_hg19 ZNF2	ZNF2	24538.0	1	40199	29	445283	ENCFF795KRZ.bed
7211	3	0.033687714149785664	0.5202661159728182	encode_v4_hg19 ZNF615	ZNF615	6433.0	3	14295	190	471024	ENCFF618JPG.bed
7212	5	0.03367233077508691	0.4658437350869074	encode_v4_hg19 ZNF276	ZNF276	10692.0	2	28829	68	456613	ENCFF451VTH.bed
7213	9	0.03367083629409045	0.46748225886015504	encode_v4_hg19 GATAD2B	GATAD2B	13570.0	2	17707	113	467690	ENCFF388KGW.bed
7214	5	0.03364188356844775	0.5159380217069633	encode_v4_hg19 TIGD6	TIGD6	13785.0	3	38767	67	446675	ENCFF667FDX.bed
7215	8	0.03356699042667217	0.38161769199507045	encode_v4_hg19 CTCF	CTCF	42242.0	1	34739	34	450738	ENCFF383VPO.bed
7216	6	0.03337807997811916	0.6371623759482684	encode_v4_hg19 ZNF501	ZNF501	19736.0	8	45632	121	439751	ENCFF725SQV.bed
7217	7	0.03328849763508399	0.6007661693196485	encode_v4_hg19 ZNF600	ZNF600	52411.0	6	49986	87	435433	ENCFF326MMO.bed
7218	8	0.033108100955728845	0.5071223156221896	encode_v4_hg19 UBTF	UBTF	37863.0	3	75746	32	409731	ENCFF810LSF.bed
7219	3	0.03310501629550973	0.5180999060056516	encode_v4_hg19 CTCF	CTCF	17357.0	3	14353	190	470966	ENCFF910ACN.bed
7220	3	0.03308914797356202	0.699912778164821	encode_v4_hg19 ZNF692	ZNF692	33315.0	14	48782	179	436537	ENCFF771ALQ.bed
7221	6	0.033083123092904634	0.6209687645424176	encode_v4_hg19 MAX	MAX	41407.0	7	41057	122	444326	ENCFF793GVV.bed
7222	3	0.033072671120152324	0.6840098107237365	encode_v4_hg19 CTCF	CTCF	38456.0	12	42885	181	442434	ENCFF647HXE.bed
7223	8	0.033021441770938895	0.37922976558040256	encode_v4_hg19 SRF	SRF	14154.0	1	34942	34	450535	ENCFF316WFA.bed
7224	3	0.03301982434013264	0.6048919601348821	encode_v4_hg19 CTCF	CTCF	33950.0	6	24446	187	460873	ENCFF324DOU.bed
7225	6	0.03301138921520701	0.46514753653455	encode_v4_hg19 NFIB	NFIB	22128.0	2	15895	127	469488	ENCFF489IWB.bed
7226	3	0.03300403276428231	0.7240199271445116	encode_v4_hg19 NR2C2	NR2C2	31012.0	18	60370	175	424949	ENCFF042QSE.bed
7227	5	0.032995631926309436	0.6137081869064067	encode_v4_hg19 TBX2	TBX2	43726.0	7	74416	63	411026	ENCFF946LHJ.bed
7228	3	0.032983794541459596	0.5823836718873436	encode_v4_hg19 CTCF	CTCF	32327.0	5	21195	188	464124	ENCFF962FDB.bed
7229	3	0.03295340201088549	0.7185271837623437	encode_v4_hg19 CTCF	CTCF	102976.0	17	57510	176	427809	ENCFF489EMW.bed
7230	6	0.032940227664051136	0.5162954429329301	encode_v4_hg19 CREB3	CREB3	7467.0	3	21397	126	463986	ENCFF767ZRB.bed
7231	3	0.03292566555143612	0.6742759496793456	encode_v4_hg19 ZNF317	ZNF317	23240.0	11	39922	182	445397	ENCFF865WCB.bed
7232	4	0.03291545642385185	0.38004483822341756	encode_v4_hg19 CTCF	CTCF	62337.0	1	21421	57	464033	ENCFF163JHE.bed
7233	6	0.032893063428200024	0.38101405507011943	encode_v4_hg19 MITF	MITF	7498.0	1	9752	128	475631	ENCFF605XYC.bed
7234	8	0.032891106286012536	0.378657520664152	encode_v4_hg19 CREB1	CREB1	17587.0	1	34991	34	450486	ENCFF193LLN.bed
7235	8	0.032859266740721	0.3785176232776506	encode_v4_hg19 ZNF816	ZNF816	13967.0	1	35003	34	450474	ENCFF994VNA.bed
7236	7	0.03277231085681678	0.38017024361577745	encode_v4_hg19 ZBTB44	ZBTB44	17876.0	1	13493	92	471926	ENCFF638WEZ.bed
7237	3	0.032739975473558766	0.6914145667287533	encode_v4_hg19 CTCF	CTCF	36201.0	13	45901	180	439418	ENCFF144XGH.bed
7238	5	0.03271862286973777	0.5124303444146657	encode_v4_hg19 CTCF	CTCF	56708.0	3	39011	67	446431	ENCFF226NCM.bed
7239	5	0.032672006559739133	0.5742766818465953	encode_v4_hg19 MAX	MAX	41900.0	5	57343	65	428099	ENCFF460LNS.bed
7240	6	0.03262546314513912	0.3798612121147274	encode_v4_hg19 SP110	SP110	4058.0	1	9781	128	475602	ENCFF342ETP.bed
7241	6	0.03258051671810913	0.4634291926992861	encode_v4_hg19 ZNF557	ZNF557	8550.0	2	15952	127	469431	ENCFF130ZHU.bed
