	Model Cluster	p Value Log	Odds Ratio	Description	Antibody	Size	Cluster Site - TF Region Overlap (a)	TF Region Only (b)	Cluster Site Only (c)	Assessed Methylation Background (d)	ENOCDE File
3793	2	0.33670513795532886	1.3189972652459205	encode_v4_hg19 PBX3	PBX3	54033.0	2	24940	28	460542	ENCFF968BSH.bed
3794	7	0.3364790826785413	1.0693911992970455	encode_v4_hg19 CTCF	CTCF	61456.0	12	59066	81	426353	ENCFF981UJM.bed
3795	4	0.3363441548436175	1.301444709565477	encode_v4_hg19 FOXA2	FOXA2	63103.0	2	12966	56	472488	ENCFF466FCB.bed
3796	3	0.3362390390504299	1.0947726287575392	encode_v4_hg19 GABPA	GABPA	7541.0	7	16129	186	469190	ENCFF168BDU.bed
3797	5	0.3361719993760129	1.203998378565778	encode_v4_hg19 ZNF197	ZNF197	10697.0	3	17406	67	468036	ENCFF987UBO.bed
3798	7	0.33603962316299946	1.0833719997753812	encode_v4_hg19 CTCF	CTCF	68039.0	9	43685	84	441734	ENCFF664UGR.bed
3799	1	0.3360001524404726	1.3032494829246506	encode_v4_hg19 REST	REST	10141.0	2	15040	48	470422	ENCFF814JWH.bed
3800	2	0.3359480036295776	1.2229734207356162	encode_v4_hg19 ZNF580	ZNF580	22435.0	3	40434	27	445048	ENCFF216VXG.bed
3801	1	0.33557802809825094	1.3020879909082221	encode_v4_hg19 ATF3	ATF3	27939.0	2	15053	48	470409	ENCFF722BFP.bed
3802	5	0.33544426841617525	1.1321318293529634	encode_v4_hg19 SOX6	SOX6	32910.0	5	30885	65	454557	ENCFF125GZU.bed
3803	8	0.335434643612019	1.6464805907266493	encode_v4_hg19 MAFK	MAFK	27158.0	1	8520	34	476957	ENCFF439TJM.bed
3804	4	0.3352925000994291	1.2985633396099159	encode_v4_hg19 ZNF217	ZNF217	17502.0	2	12994	56	472460	ENCFF131ALE.bed
3805	4	0.33506763521909033	1.2979475181374578	encode_v4_hg19 GATA2	GATA2	22201.0	2	13000	56	472454	ENCFF409YKQ.bed
3806	5	0.33480363914813444	1.1141093344566082	encode_v4_hg19 MXI1	MXI1	21994.0	6	37678	64	447764	ENCFF718BQI.bed
3807	5	0.33471853815349334	1.0928216526691805	encode_v4_hg19 MAX	MAX	34049.0	8	51263	62	434179	ENCFF666XCS.bed
3808	8	0.3344714144929747	1.6413811797594422	encode_v4_hg19 ZNF513	ZNF513	11580.0	1	8546	34	476931	ENCFF333YTG.bed
3809	5	0.33442166183723676	1.6246753632850006	encode_v4_hg19 HIVEP1	HIVEP1	4449.0	1	4292	69	481150	ENCFF449JMB.bed
3810	8	0.33441163821564135	1.307577609732522	encode_v4_hg19 ZNF639	ZNF639	14600.0	2	21505	33	463972	ENCFF334GBZ.bed
3811	1	0.334404605770351	1.631080476850848	encode_v4_hg19 RCOR1	RCOR1	6691.0	1	5999	49	479463	ENCFF224YBQ.bed
3812	8	0.33395530829240666	1.3063063578861585	encode_v4_hg19 ZNF839	ZNF839	8049.0	2	21525	33	463952	ENCFF332MPQ.bed
3813	6	0.3339538090787238	1.1934555438169974	encode_v4_hg19 ZNF24	ZNF24	11361.0	3	9494	126	475889	ENCFF258VTL.bed
3814	1	0.33395057671071354	1.2050324947358408	encode_v4_hg19 CTCF	CTCF	42101.0	3	24421	47	461041	ENCFF883YRD.bed
3815	7	0.33390053668236963	1.2884903737896876	encode_v4_hg19 ZNF76	ZNF76	5874.0	2	8141	91	477278	ENCFF305XQM.bed
3816	2	0.33373676705235267	1.6431001331936355	encode_v4_hg19 RCOR1	RCOR1	4622.0	1	9979	29	475503	ENCFF022KBD.bed
3817	7	0.33313901774350146	1.6140843797029496	encode_v4_hg19 NFIB	NFIB	16937.0	1	3247	92	482172	ENCFF079JBB.bed
3818	6	0.33289745496631296	1.1222480202664689	encode_v4_hg19 NR4A1	NR4A1	15387.0	5	16835	124	468548	ENCFF852ZIK.bed
3819	7	0.3325665942561888	1.1500255738744125	encode_v4_hg19 CTCF	CTCF	40244.0	4	18257	89	467162	ENCFF287MQJ.bed
3820	3	0.33229794259129924	1.1190998689678349	encode_v4_hg19 ZBED1	ZBED1	6031.0	5	11266	188	474053	ENCFF392INU.bed
3821	6	0.3320255404352561	1.0621611651402048	encode_v4_hg19 IRF2	IRF2	30592.0	12	42743	117	442640	ENCFF992KZC.bed
3822	4	0.3319722434295983	1.6152455762227083	encode_v4_hg19 FOXF2	FOXF2	9353.0	1	5216	57	480238	ENCFF109ADF.bed
3823	4	0.33159038299575405	1.1294058481538563	encode_v4_hg19 CTCF	CTCF	54442.0	5	37424	53	448030	ENCFF284EIV.bed
3824	1	0.3309939213125481	1.198982472103314	encode_v4_hg19 ZBTB3	ZBTB3	9646.0	3	24538	47	460924	ENCFF149QHA.bed
3825	8	0.3309395372828324	1.140486290919258	encode_v4_hg19 HOXA3	HOXA3	40206.0	5	61899	30	423578	ENCFF753OCA.bed
3826	2	0.3309133013808416	1.3027430217983427	encode_v4_hg19 USF2	USF2	12459.0	2	25235	28	460247	ENCFF458AZS.bed
3827	7	0.33087459745450337	1.122091896186378	encode_v4_hg19 HNF4G	HNF4G	16170.0	5	23395	88	462024	ENCFF413UQM.bed
3828	4	0.33035262073369487	1.60683560057991	encode_v4_hg19 RUNX1	RUNX1	3786.0	1	5243	57	480211	ENCFF003LPE.bed
3829	2	0.3302144034072897	1.6244778439490217	encode_v4_hg19 EP300	EP300	8253.0	1	10091	29	475391	ENCFF488UHZ.bed
3830	4	0.33017268943675965	1.1946532759561648	encode_v4_hg19 CTCF	CTCF	32327.0	3	21197	55	464257	ENCFF962FDB.bed
3831	8	0.3300372772027436	1.2954078456390616	encode_v4_hg19 ZEB2	ZEB2	25611.0	2	21698	33	463779	ENCFF242AOL.bed
3832	10	0.3300158204347548	1.8599027246019377	encode_v4_hg19 CTCF	CTCF	102976.0	1	57526	4	427981	ENCFF489EMW.bed
3833	6	0.3299318023544442	1.0686045454589794	encode_v4_hg19 FOSL2	FOSL2	51769.0	10	35388	119	449995	ENCFF772SCR.bed
3834	6	0.3293821849466283	1.5915104242763043	encode_v4_hg19 ZNF133	ZNF133	7748.0	1	2371	128	483012	ENCFF667WTL.bed
3835	7	0.32902128449497936	1.5928421508033814	encode_v4_hg19 E2F4	E2F4	1220.0	1	3290	92	482129	ENCFF090CEP.bed
3836	2	0.3289069956030288	1.6176005564077025	encode_v4_hg19 USF2	USF2	8322.0	1	10133	29	475349	ENCFF346KIW.bed
3837	1	0.3287787286017717	1.2834259420807297	encode_v4_hg19 NFIC	NFIC	36049.0	2	15265	48	470197	ENCFF980SDE.bed
3838	1	0.3286836434157975	1.2831655755341203	encode_v4_hg19 CTCF	CTCF	20962.0	2	15268	48	470194	ENCFF467TUY.bed
3839	8	0.3284219556292595	1.2909230976875585	encode_v4_hg19 JUND	JUND	36764.0	2	21770	33	463707	ENCFF708CPH.bed
3840	4	0.3282947069830226	1.1908343953920408	encode_v4_hg19 CTCF	CTCF	31575.0	3	21262	55	464192	ENCFF871GVU.bed
3841	5	0.3282010222436773	1.0855216472609566	encode_v4_hg19 ZNF219	ZNF219	45683.0	8	51574	62	433868	ENCFF708ZFL.bed
3842	1	0.32797506461011533	1.1268058870776028	encode_v4_hg19 ZNF891	ZNF891	18072.0	5	43573	45	441889	ENCFF903IZG.bed
3843	3	0.3279737838098491	1.096707729141736	encode_v4_hg19 JUND	JUND	12796.0	6	13795	187	471524	ENCFF287KKY.bed
3844	3	0.32784860030531077	1.059703662599797	encode_v4_hg19 CTCF	CTCF	32891.0	11	26187	182	459132	ENCFF047BEO.bed
3845	3	0.327683129307724	1.1125277214718687	encode_v4_hg19 TRIM28	TRIM28	15253.0	5	11331	188	473988	ENCFF770JQM.bed
3846	1	0.32757662158626627	1.2801355092949966	encode_v4_hg19 CTCF	CTCF	20643.0	2	15303	48	470159	ENCFF585XAQ.bed
3847	7	0.3275075493005863	1.5850790382628925	encode_v4_hg19 ZNF260	ZNF260	1495.0	1	3306	92	482113	ENCFF612MQA.bed
3848	7	0.32747119858290175	1.0691894488550382	encode_v4_hg19 RBPJ	RBPJ	29783.0	10	49161	83	436258	ENCFF762NCU.bed
3849	8	0.32744189796053796	1.6044758833274655	encode_v4_hg19 ZNF407	ZNF407	4505.0	1	8739	34	476738	ENCFF255HEF.bed
3850	4	0.3273455018544969	1.188904502022603	encode_v4_hg19 TEAD4	TEAD4	35894.0	3	21295	55	464159	ENCFF501XJP.bed
3851	1	0.32714335460790933	1.1911065974181907	encode_v4_hg19 CTCF	CTCF	44447.0	3	24692	47	460770	ENCFF624ZSR.bed
3852	8	0.32712720074425605	1.2873319014838038	encode_v4_hg19 EP300	EP300	23400.0	2	21828	33	463649	ENCFF191GQE.bed
3853	5	0.3271151339537817	1.1856893462958074	encode_v4_hg19 ZNF485	ZNF485	9290.0	3	17665	67	467777	ENCFF837BSM.bed
3854	6	0.32711207578793744	1.1383011157157101	encode_v4_hg19 USF2	USF2	15415.0	4	13272	125	472111	ENCFF405SDO.bed
3855	4	0.3266854043765068	1.2750593848260356	encode_v4_hg19 TCF12	TCF12	14291.0	2	13227	56	472227	ENCFF154RAJ.bed
3856	7	0.32662151732772876	1.115926235409674	encode_v4_hg19 CTCF	CTCF	37460.0	5	23518	88	461901	ENCFF297BQF.bed
3857	8	0.32658233816810944	1.6000002054475815	encode_v4_hg19 ETV6	ETV6	6788.0	1	8763	34	476714	ENCFF965PER.bed
3858	8	0.32640366199393384	1.5990708550555817	encode_v4_hg19 RNF2	RNF2	4707.0	1	8768	34	476709	ENCFF409SDU.bed
3859	3	0.3260995060505332	1.175584372357035	encode_v4_hg19 REST	REST	6107.0	3	6432	190	478887	ENCFF262MRD.bed
3860	1	0.32607645946909747	1.188925004978355	encode_v4_hg19 CTCF	CTCF	54543.0	3	24735	47	460727	ENCFF029TZI.bed
3861	5	0.3260496964311502	1.1025443685761211	encode_v4_hg19 ZNF331	ZNF331	32518.0	6	38042	64	447400	ENCFF623DVC.bed
3862	2	0.3260263420929568	1.1615412319323208	encode_v4_hg19 SP1	SP1	61843.0	4	56781	26	428701	ENCFF824IDM.bed
3863	5	0.3259430020039189	1.0829586045799677	encode_v4_hg19 ZNF639	ZNF639	26413.0	8	51683	62	433759	ENCFF643AUL.bed
3864	3	0.32580896817880367	1.1339516043907019	encode_v4_hg19 SOX13	SOX13	11886.0	4	8892	189	476427	ENCFF218BAR.bed
3865	5	0.32570483295978375	1.1828401157778945	encode_v4_hg19 GATAD2B	GATAD2B	13570.0	3	17706	67	467736	ENCFF388KGW.bed
